ISP,Download,Upload,Timestamp
Infel-ktv Doo,14.41 Mbit/s,1.25 Mbit/s,2020-06-11T05:00:03.048349Z
Infel-ktv Doo,14.25 Mbit/s,1.30 Mbit/s,2020-06-11T06:00:03.066876Z
Infel-ktv Doo,14.06 Mbit/s,1.24 Mbit/s,2020-06-11T07:00:02.448800Z
Infel-ktv Doo,12.30 Mbit/s,1.23 Mbit/s,2020-06-11T08:00:02.564953Z
Infel-ktv Doo,12.53 Mbit/s,1.32 Mbit/s,2020-06-14T10:00:03.664877Z
Infel-ktv Doo,14.25 Mbit/s,1.34 Mbit/s,2020-06-14T11:00:03.473162Z
Infel-ktv Doo,14.29 Mbit/s,1.26 Mbit/s,2020-06-14T12:00:02.954345Z
Infel-ktv Doo,14.26 Mbit/s,1.20 Mbit/s,2020-06-14T13:00:02.666859Z
Infel-ktv Doo,14.00 Mbit/s,1.13 Mbit/s,2020-06-14T14:00:03.524326Z
Infel-ktv Doo,14.13 Mbit/s,1.28 Mbit/s,2020-06-14T15:00:02.509069Z
Infel-ktv Doo,14.24 Mbit/s,1.34 Mbit/s,2020-06-14T16:00:02.962616Z
Infel-ktv Doo,14.34 Mbit/s,1.18 Mbit/s,2020-06-14T17:00:02.865451Z
Infel-ktv Doo,13.44 Mbit/s,1.18 Mbit/s,2020-06-14T18:00:02.549875Z
Infel-ktv Doo,13.46 Mbit/s,1.21 Mbit/s,2020-06-14T19:00:02.773910Z
Infel-ktv Doo,14.12 Mbit/s,1.17 Mbit/s,2020-06-14T20:00:02.833793Z
Infel-ktv Doo,13.77 Mbit/s,1.30 Mbit/s,2020-06-14T21:00:03.108009Z
Infel-ktv Doo,11.00 Mbit/s,1.27 Mbit/s,2020-06-14T22:00:02.852309Z
Infel-ktv Doo,13.76 Mbit/s,1.24 Mbit/s,2020-06-14T23:00:04.384833Z
Infel-ktv Doo,14.15 Mbit/s,1.38 Mbit/s,2020-06-15T00:00:02.711353Z
Infel-ktv Doo,14.05 Mbit/s,1.25 Mbit/s,2020-06-15T01:00:02.901939Z
Infel-ktv Doo,14.39 Mbit/s,1.27 Mbit/s,2020-06-15T02:00:03.516067Z
Infel-ktv Doo,14.31 Mbit/s,1.29 Mbit/s,2020-06-15T03:00:03.224175Z
Infel-ktv Doo,14.40 Mbit/s,1.30 Mbit/s,2020-06-15T04:00:03.679016Z
Infel-ktv Doo,14.38 Mbit/s,1.28 Mbit/s,2020-06-15T05:00:03.836396Z
Infel-ktv Doo,14.21 Mbit/s,1.31 Mbit/s,2020-06-15T06:00:03.210189Z
Infel-ktv Doo,14.17 Mbit/s,1.29 Mbit/s,2020-06-15T07:00:02.641531Z
Infel-ktv Doo,6.36 Mbit/s,1.23 Mbit/s,2020-06-15T08:00:03.901149Z
Infel-ktv Doo,12.45 Mbit/s,1.26 Mbit/s,2020-06-16T19:00:03.422741Z
Infel-ktv Doo,10.84 Mbit/s,1.05 Mbit/s,2020-06-16T20:00:02.372758Z
Infel-ktv Doo,14.03 Mbit/s,1.14 Mbit/s,2020-06-16T21:00:02.377766Z
Infel-ktv Doo,14.26 Mbit/s,1.35 Mbit/s,2020-06-16T22:00:02.106242Z
Infel-ktv Doo,12.37 Mbit/s,1.26 Mbit/s,2020-06-17T12:00:03.498760Z
Infel-ktv Doo,12.99 Mbit/s,1.09 Mbit/s,2020-06-17T13:00:03.916644Z
Infel-ktv Doo,13.89 Mbit/s,1.31 Mbit/s,2020-06-17T14:00:02.862782Z
Infel-ktv Doo,14.07 Mbit/s,1.23 Mbit/s,2020-06-17T15:00:02.994204Z
Infel-ktv Doo,13.41 Mbit/s,1.21 Mbit/s,2020-06-17T16:00:03.449098Z
